species,instar,treatment,days_to_moult
bore,second,constant,11
bore,second,constant,19
bore,second,constant,9
bore,second,constant,39
bore,second,constant,11
bore,second,constant,5
bore,second,constant,25
bore,second,constant,6
bore,second,fluctuating,44
bore,second,fluctuating,19
bore,second,fluctuating,17
bore,second,fluctuating,26
bore,second,fluctuating,18
bore,second,fluctuating,12
bore,second,fluctuating,13
bore,second,fluctuating,18
bore,second,constant,17
bore,second,constant,31
bore,second,constant,23
bore,second,constant,21
bore,second,constant,13
bore,second,constant,28
bore,second,constant,11
bore,second,constant,11
bore,second,fluctuating,22
bore,second,fluctuating,20
bore,second,fluctuating,21
bore,second,fluctuating,17
bore,second,fluctuating,20
bore,second,fluctuating,15
bore,second,constant,28
bore,second,constant,25
bore,second,constant,27
bore,second,constant,23
bore,second,constant,20
bore,second,constant,11
bore,second,fluctuating,23
bore,second,fluctuating,27
bore,second,fluctuating,14
bore,second,fluctuating,18
bore,second,fluctuating,13
bore,second,constant,29
bore,second,constant,21
bore,second,constant,26
bore,second,constant,22
bore,second,constant,24
bore,second,constant,13
bore,second,constant,21
bore,second,constant,18
bore,second,fluctuating,29
bore,second,fluctuating,27
bore,second,fluctuating,18
bore,second,fluctuating,22
bore,second,fluctuating,18
bore,second,fluctuating,24
bore,second,fluctuating,19
bore,second,fluctuating,15
nostras,second,constant,23
nostras,second,constant,21
nostras,second,constant,25
nostras,second,constant,18
nostras,second,constant,15
nostras,second,constant,11
nostras,second,constant,21
nostras,second,constant,21
nostras,second,constant,15
nostras,second,constant,21
nostras,second,constant,18
nostras,second,constant,30
nostras,second,fluctuating,39
nostras,second,fluctuating,27
nostras,second,fluctuating,32
nostras,second,fluctuating,23
nostras,second,fluctuating,25
nostras,second,fluctuating,27
nostras,second,fluctuating,23
nostras,second,fluctuating,27
nostras,second,fluctuating,27
nostras,second,fluctuating,23
nostras,second,fluctuating,23
nostras,second,fluctuating,19
nostras,second,constant,12
nostras,second,constant,15
nostras,second,constant,10
nostras,second,constant,13
nostras,second,constant,10
nostras,second,constant,2
nostras,second,fluctuating,33
nostras,second,fluctuating,28
nostras,second,fluctuating,21
nostras,second,fluctuating,31
nostras,second,fluctuating,17
nostras,second,constant,16
nostras,second,constant,20
nostras,second,constant,22
nostras,second,constant,19
nostras,second,constant,23
nostras,second,constant,18
nostras,second,constant,5
nostras,second,constant,21
nostras,second,fluctuating,24
nostras,second,fluctuating,31
nostras,second,fluctuating,28
nostras,second,fluctuating,19
nostras,second,fluctuating,21
nostras,second,constant,24
nostras,second,constant,25
nostras,second,fluctuating,30
